"country","year (Year)","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Fiji","amount"," "," "," "," ","572560","53909","83242","114775","357052","673722","1272815","47661","7862","84048","255144","310861","126248","38161","27432","213000"," ","200000"
"Finland","amount"," "," "," "," ","19000","81988","36000","0","0","0"," ","2322","8044","10102","27572","1600","13987","11968","12394"," "," "," "
"France","amount"," "," "," "," ","170741","86774"," "," "," "," "," "," ","32000","37000"," "," ","13266","50000000","10000000","35000000"," "," "
"French Polynesia","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","1368"," "," "," "," "," "
"Gabon","amount"," "," "," "," ","61422","234606","207138","268966","381143","530818","652232","1302330","275868","510365","1172446","717209","516558","1081889","1164194","351000","230000","350000"
"Gambia","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","93000","280000"," "," "," "
"Georgia","amount"," "," "," "," ","6036395","40443672","102409721","31122266","38944676","42104688","33764759","106165087","162858160","92950133","63476183","52942798","126631102","24497501","19695315","37165000","35725000","27300000"
"Germany","amount"," "," "," "," ","153680","57092"," "," "," "," "," ","225000","24000","22000"," ","1425060","616301"," "," "," "," "," "
"Ghana","amount"," "," "," "," ","464422","1013164","1674691","1663318","1862714","1595296","1747966","2926530","2709602","2636228","5032420","3254071","3091785","2514841","4540651","1159000","970000","1150000"
"Global","amount"," "," "," "," "," "," ","420000000","1400000000","1400000000","1395000000","1344351000","127000000","37273700","167950000","162900000","166160000","675580000","1562731000","2535608000","3258969296","3281884496","3975004496"
"Great Lakes Regional","amount"," "," "," "," "," "," "," "," "," "," ","730000","458000"," "," "," "," ","18808000"," "," "," "," "," "
"Greece","amount"," "," "," "," ","359184","711288","772600","35751108","5261131","1163000","573000","558000","463562","358300","21631626","12865505","162227","93000","272000","199000","200000","200000"
"Grenada","amount","390000","149000","203000","302984","134957","295000","293000","299557","524045","236175","296193","151220","19500","339142","1900698","373500","304480","347054","418"," "," "," "
"Guam","amount"," "," "," "," "," "," "," "," "," "," "," "," ","112000","75000"," "," "," "," "," "," "," "," "
"Guatemala","amount","2268000","2158000","2796000","3009089","2982171","4268085","3194213","3028852","2994852","3301462","3111493","15927734","16202892","3693876","20182133","28998657","29358536","14464944","16708931","1789000","2515000","2500000"
"Guinea","amount"," "," "," "," ","264422","3368010","415275","300368","521580","630456","2825777","664702","550566","412456","787000","69180","484396","580661","1237176","189000","240000","340000"
"Guinea-Bissau","amount"," "," "," "," ","135422","557974","99557","322821"," ","175919","163351","744785","968000","456681","1658588","103828","4716"," "," ","130000","150000","150000"
"Guyana","amount","289000","178000","281000","471616","319233","375742","667804","727981","482500","472225","500600","561123","5209511","1271863","3295932","1061000","893088","934165","456553","300000","250000","250000"
"Haiti","amount","1250000","500000","940000","550000","522000","193849","519992","583000","884000","551650","15245950","36151650","11991800","19893489","160591373","21071800","19380146","19059429","13673000","7072000","7335000","8955000"
"Honduras","amount","794000","719000","2923404","1110108","1329825","1994063","2219006","2174163","5017124","3723465","3394287","11789679","13374611","7740025","5244957","12091291","10354171","9724269","11283264","3865000","5250000","5250000"
"Hong Kong","amount"," "," "," "," "," "," "," "," "," "," ","8748"," ","11800","7706","16139","29226","2080","1347","167554"," "," "," "
"Hungary","amount"," "," "," "," ","8100270","11585688","12029000","22222624","8982000","7964000","4799000","3818000","2172624","4660271","12213956","5269209","15556025","9798000","3902000","8978154","1000000","1000000"
"Iceland","amount"," "," "," "," ","25000"," "," "," "," "," "," "," ","3326"," "," ","58998"," "," "," "," "," "," "
"India","amount"," "," "," "," ","877468","1652059","3330535","3096022","2902977","6180546","4795781","3487187","4802942","4586288","6764794","8390940","7959532","7045324","8454301","5210000","3700000","3700000"
"Indonesia","amount"," "," "," "," ","1397999","131337","12654704","2732336","8836911","9127698","34629074","55169165","35731281","34084652","66521748","42046632","34023981","29825012","33996289","32088000","30510640","28725000"
"Iran","amount"," "," "," "," "," "," "," "," "," "," "," "," "," ","0"," ","14078","0"," ","319"," "," "," "
"Iraq","amount"," "," "," "," ","73235002","7545063","173670","234134008","1047297896","5496083893","3187440324","5591695268","3061007934","1043899295","1694599333","1315461029","884606475","517529242","375376234","1799926000","997860000","807860000"
"Ireland","amount"," "," "," "," ","79774"," ","0","15574","16649","0","0","71033","158276","71061","30031","5300","33811","9011","5075","0"," "," "
"Israel","amount"," "," "," "," ","2844709185","2042175383","2094297996","3131929322","2165123341","2203417222","2257747017","2366953796","2380760125","2554979569","2800725733","3143502075","3075095146","2943250959","3100012915","3100000000","3100000000","3100001000"
"Italy","amount"," "," "," "," ","18585","25000"," "," "," "," "," ","10000","71901","308300"," ","945130","18361"," "," "," "," "," "
"Jamaica","amount","2321500","1489000","2710000","48726597","2043419","1595000","2765995","2703393","3185704","4171848","3503723","9421441","3396203","2378146","2939265","4175058","4505115","1095833","2638943","573000","600000","600000"
"Japan","amount"," "," "," "," ","12934","141957","25949"," "," "," "," "," ","8000"," "," "," "," "," ","121000"," "," "," "
"Jordan","amount"," "," "," "," ","236149579","78148520","104788480","631949187","212403224","310666472","216436026","340939550","441892497","608368135","402980442","346685473","428099968","298570323","311938561","720018700","462650000","367600000"
"Kazakhstan","amount"," "," "," "," ","3530649","9031698","18898272","19780149","19069746","19862418","19395656","52974748","59108366","58090107","69976416","60964535","15953885","19326090","19601226","3855000","2351000","2600000"
"Kenya","amount"," "," "," "," ","436442","3971841","15529477","2857317","11032370","5378030","5412219","9682909","20012903","32621293","23180261","25263944","15220330","37773478","40793556","88926951","8050000","7850000"
"Kiribati","amount"," "," "," "," ","13139","43090","59342","50675","66428"," ","25372"," ","30855","13136","43046","53314","21626","10498","5354"," "," "," "
"Kosovo","amount"," "," "," "," ","33375000","11322474","15400000"," ","7000000"," ","227990","205536","1102718","3494125","4972286","6856974","5182865","13502836","13546430","16457000","12780000","14970000"
"Kuwait","amount"," "," "," "," "," ","0","0","0","50085","814000","628000","1025000"," ","0","220748","0","8249"," ","135"," "," "," "
"Kyrgyzstan","amount"," "," "," "," ","1948785","5827720","33366654","10020766","9947357","15063835","10767555","38355493","60486665","36660294","93060605","78307945","90669162","11312938","8902880","3529000","4580350","3060000"
"Lake Chad Regional","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","178000000","105000000","125000000"
"Laos","amount"," "," "," "," ","5147541","1493000","1556709","1307636","1544467","2600000","3398518","2838033","3476686","2433562","5668819","2742868","5786921","9685291","13250683","13547000","20800000","11450000"
"Latvia","amount"," "," "," "," ","5885410","7380262","8764455","11873016","10508000","7356000","7376000","4980000","2564800","2646556","6252330","12550453","6686658","8485000","15217000","47042000","3200000","2700000"
"Lebanon","amount"," "," "," "," ","16829483","3514070","1768000","6137037","1600000","4308398","44675678","314532243","40450694","233950846","155401934","105900683","124834967","112073802","128805368","161653039","100510000","123510000"
"Lesotho","amount"," "," "," "," ","100422","101844","157027","77485","44207","88818","117635","353773","254968","490231","578464","439131","197395","21910","234176","8000","150000","125000"
"Levant Regional","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","138661961","315000000","470000000"
"Liberia","amount"," "," "," "," ","6960"," "," ","200000","160000","7376000","32578260","61691159","56616244","49441327","39340484","29374998","30540846","23459317","18799147","17360000","18420000","14960000"
"Libya","amount"," "," "," "," "," "," "," "," "," "," "," ","11809","1071803","783637","773380","25004020","15326909","11205501","5990367","4500000","10000000","5500000"
"Lithuania","amount"," "," "," "," ","7086347","8529755","8909433","13231806","8572000","7762000","6274000","6545000","3957458","2792436","6272792","17207988","16523848","12160000","14874000","40938000","3200000","2700000"
"Macedonia","amount"," "," "," "," ","1429450","19126376","11406920","13130446","9529526","8239314","7033146","9654284","5150697","5167702","7265056","6736669","5908156","6591027","6423303","7247000","6128000","6800000"
"Madagascar","amount"," "," "," "," ","207929","232254","307703","298751","433232","1294938","465199","523946","894676","264625","143708","213383","71087"," ","92404","73000","250000","250000"
"Malawi","amount"," "," "," "," ","1322422","1205365","557705","360175","469252","512000","647322","677825","543230","692941","503525","589073","1174545","325512","283124","335000","250000","300000"
"Malaysia","amount"," "," "," "," ","1349672","1878901","1692298","3554942","2844665","4250067","5616979","23531783","32092923","5083195","5536658","6018648","3531523","3580302","3085128","2252000","2270000","2270000"
"Maldives","amount"," "," "," "," ","275507","237123","210796","261577","288555","298704","438162","458665","509314","755796","6205189","13861036","2047295","1993210","3540084","1354000","1340000","1340000"
"Mali","amount"," "," "," "," ","937813","1553519","464472","1514260","417547","1596698","1622330","7149080","1489101","5725515","10592952","2491794","128663266","12602000","2995000","6409000","780000","1400000"
"Malta","amount"," "," "," "," ","955000","8289600","472880","5772000","446202","3085368","787531","786983","239656","907788","2312554","5305851","4750000","201000","158411","100000","100000","200000"
"Marshall Islands","amount"," "," "," "," ","25086","25049","39332","44746","60615"," ","23566","128298","46000","59000","52760","45000","48680","13441","5088"," "," "," "
"Martinique","amount"," "," "," "," "," "," "," "," ","0","0","0","25000","30000","31000","20000","20000"," "," "," "," "," "," "
"Mauritania","amount"," "," "," "," ","475422","497092","877696","220096","399123","1741165","274889","11151050","3023682","8122","8967545","32378921","8306400","26144519","17490876","449000","800000","1500000"
"Mauritius","amount"," "," "," "," ","118508","143192","196050","187557","222432","733216","1367708","905512","269666","457526","860936","663776","565353","415373","742403","244000","150000","150000"
"Mexico","amount","41455804","75244000","27567000","27636136","20110891","30084064","48906196","19648473","41530303","43085121","45266915","56046844","437036452","682809799","247966694","130233892","177981932","141438528","104664721","119068000","110660000","85661000"
"Micronesia","amount"," "," "," "," ","25086","45369","56140","91280","123667"," ","63172","69158","192748","97007","628952","284548","35364","112736","92737"," "," "," "
"Middle East and North Africa Regional","amount"," "," "," "," ","6191000","5460000","11272000","11815000","13881000","305000","300000","150000"," ","900000","10125000","1530000","3000000","7429000","38500000","28000000","36440000","34500000"
"Moldova","amount"," "," "," "," ","3834386","21237466","5809059","4050669","5272805","4032949","4482747","3905381","3487357","3010041","2632744","2944085","4067762","4538863","4656988","15569000","15928000","18010000"
"Monaco","amount"," "," "," "," "," "," "," "," "," "," "," "," ","2621"," "," "," ","0","0"," ","0"," "," "
"Mongolia","amount"," "," "," "," ","936266","3408138","2876722","2393824","3306876","3787000","5876895","5470565","2569568","2825648","6543149","4736199","4797434","4486583","4638535","4314000","3874000","4350000"
"Montenegro","amount"," "," "," "," "," "," "," "," "," "," "," ","528293","1101867","1680962","2377563","3230622","3629537","3121690","3204932","3803000","2595000","3805000"
"Morocco","amount"," "," "," "," ","13650945","6579840","17799046","26169267","20038012","30797715","21377700","18210064","9804004","17859397","18115234","13967097","58596917","47589852","13501952","18467000","16600000","13500000"
"Mozambique","amount"," "," "," "," ","4200422","2380000","2573495","2895860","1751955","3269457","3202156","2211367","491001","602861","2919710","4304473","3125302","4117306","2724650","1519000","370000","400000"
"Namibia","amount"," "," "," "," ","674422","242467","395371","799923","43963","195571","25295","123622","72239","331364","258173","261123","193018","135018","144076","195000","150000","150000"
"Nauru","amount"," "," "," "," "," ","14559"," ","16216","17787"," "," "," ","7620","26272","27981","14061","18652"," ","4622"," "," "," "
"Nepal","amount"," "," "," "," ","283014","1001653","14658278","7971221","6649372","4587232","1405631","12401454","3389298","3115513","7235207","6493294","6664135","7394938","6241287","7719000","21251000","5620000"
"Netherlands","amount"," "," "," "," ","130150","146850"," "," "," ","65000","68000","38000","50000","57000"," ","8848","31533"," "," "," "," "," "
"Netherlands Antilles","amount"," "," ","125000","277000","131000","373000","300000","247000","15106114","16672000","16315000","18539000","19460000","25550000","25677000"," "," "," "," "," "," "," "
"New Caledonia","amount"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","3873"," "," "," "
"New Zealand","amount"," "," "," "," ","762","2735","33567"," "," "," "," "," "," "," "," ","4530","3359"," "," "," "," "," "
"Nicaragua","amount"," ","57000","76000","635663","443533","2005736","1097841","1948697","2704400","1363650","2118490","10808762","5251612","7502324","2604228","4224584","5450546","883470","3271527","54000"," ","300000"
"Niger","amount"," "," "," "," ","14422","116104","165752","174181","187943","3395988","1781960","7310090","438407","442830","842000","398298","12484737","12286203","37501782","21918000","900000","1500000"
"Nigeria","amount"," "," "," "," ","26221929","15478158","10117435","1739961","1625687","1666117","2866275","5202975","7779114","7126093","5713333","4922606","15539940","10856937","8415183","1417000","1330000","1300000"
"Niue","amount"," "," "," "," "," "," "," ","29151","17969"," "," "," ","3500"," ","5419"," "," ","305","3902"," "," "," "
"North Korea","amount"," "," "," "," ","55307000","74879000","90500000","4968000"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Norway","amount"," "," "," "," ","507717","407302"," "," "," "," "," "," ","1435","2574"," "," ","18681"," "," "," "," "," "
"Oman","amount"," "," "," "," ","1410143","693236","26315797","81855800","26227922","26054567","16173479","16560143","9112680","10365215","12549889","17243974","11318622","11166219","11942782","7105000","5500000","4000000"
"Pakistan","amount"," "," "," "," ","3755507","1550377","391607777","346554227","152587820","340479174","364571888","1113926789","1554459590","1655471743","2718730195","2399971162","1568489598","1796549769","1565351486","1055320473","1221200000","319700000"
"Palau","amount"," "," "," "," ","30000","30600","58880","33870","29121"," ","90226","99331"," "," "," "," ","18923","729","2561"," "," "," "
"Palestinian Territories","amount"," "," "," "," "," "," "," "," "," "," "," "," ","25000000","227295364","97718656","147803711","89021739","60134476","60332944","71000000","62200000","36000000"
"Panama","amount","2384478","2384000","3279690","2390746","5930436","2280680","5327048","10507190","8553359","6337250","8242472","8669961","7006989","14367271","8037833","11597176","8026386","5246248","5286907","4077000","3350000","3200000"
"Panama Canal Area Military School","amount","500000","520000","530000"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"Papua New Guinea","amount"," "," "," "," ","244014","266399","327317","385461","447929","300000","358412","263088","331947","285227","491723","355211","89689","37110","263441","298000","250000","200000"
"Paraguay","amount","1130778","1229000","431000","886852","461914","1734706","1023816","1433971","1605230","1913874","3337792","2854740","3823523","8919041","4026092","1690699","1612129","1246571","790372","480000","460000","460000"
"Peru","amount","38919236","33969000","36147000","73464999","58969343","29692935","75476232","58000783","68171475","55934641","61074548","65110953","41131888","42579285","59651344","45205628","35435413","50328085","42650243","39579000","34660000","35100000"
"Philippines","amount"," "," "," "," ","24055489","4794417","58512946","56971424","41734803","40510927","45374970","83318022","65485899","81206870","73876170","41212814","67546765","52300907","70294283","78203000","64590000","54590000"
"Poland","amount"," "," "," "," ","13554450","21455110","14191000","41807116","35283000","78752000","31840000","30528000","34435399","57202894","123945872","39131238","40474230","39746500","19800000","10996000","11000000","5500000"
